X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19
293.103,25.862,68.966,456.897,8.621,25.862,12.069,343.223,44.477,77.586,103.448,137.931,1.905,36.145,14.536,961.528,0,607.363,28.839
117.647,88.235,58.824,29.412,617.647,29.412,58.824,270.139,533.336,29.412,88.235,882.353,0,0,17.626,97.779,0,954.144,5.285
261.364,409.091,56.818,125,11.364,45.455,90.909,311.796,472.732,170.455,45.455,397.727,511,42.609,6.485,977.514,58,93.576,26.993
19.403,89.552,119.403,38.806,14.925,14.925,179.104,294.748,39.446,164.179,89.552,552.239,0,20.541,24.746,934.535,21,535.463,12.465
27.193,105.263,17.544,315.789,35.088,35.088,219.298,378.793,941.192,263.158,61.404,692.982,12.998,62.236,44.701,945.298,7,736.678,41.946
353.659,2.439,85.366,47.561,0,12.195,4.878,26.304,336.893,12.195,60.976,268.293,0,83.602,30.992,929.916,0,15.036,14.515
276.596,6.383,42.553,351.064,21.277,31.915,212.766,468.348,719.289,180.851,95.745,382.979,3.282,71.708,47.564,899.684,0,844.018,42.157
180.124,31.056,49.689,413.043,34.161,21.739,270.186,32.049,1.161.091,319.876,65.217,47.205,6.714,46.444,8.808,968.285,469,920.581,119.791
375,90.909,5.303,314.394,7.576,45.455,113.636,31.524,586.523,87.121,15.152,200.758,9.553,21.392,32.448,910.072,0,325.024,63.104
390.244,73.171,170.732,121.951,0,2.439,219.512,232.448,1.046.649,97.561,0,268.293,0,99.773,23.253,97.305,0,87.076,6.147
75.758,30.303,121.212,45.455,0,30.303,69.697,281.898,924.202,227.273,60.606,75.758,30.594,0,5.792,990.953,0,955.729,17.027
0.3,0.05,0.5,0.05,0,0.05,0.05,227.873,947.213,0.05,0.05,0.25,0,51.903,38.333,959.974,0,511.371,3.25
302.083,9.375,57.292,395.833,10.417,88.542,52.083,386.873,1.457.315,20.833,26.042,98.958,2.186,0,24.587,861.969,9.702,828.634,21.933
69.565,17.391,113.043,156.522,0,156.522,486.957,221.785,46.125,86.957,8.696,391.304,55,21.256,12.414,983.231,0,986.425,92.847
294.118,98.039,529.412,19.608,19.608,19.608,19.608,424.291,570.778,39.216,39.216,137.255,3.473,0,35.369,947.621,0,23.844,6.636
338.028,140.845,42.254,253.521,0,28.169,197.183,394.808,757.768,84.507,56.338,535.211,1.862,68.861,54.628,925.518,186,595.883,18.225
83.333,166.667,83.333,0.5,0,83.333,83.333,333.988,1.044.269,83.333,166.667,0.5,0,0,3.457,996.543,0,707.324,1.505
372.093,0,93.023,139.535,0,0,395.349,252.091,817.626,46.512,93.023,209.302,0,4.062,158.083,841.917,0,377.391,18.633
305.263,105.263,63.158,421.053,10.526,0,94.737,4.535,640.933,94.737,94.737,210.526,4.492,108.949,48.964,886.377,0,571.519,30.529
0.2,0,0,0.5,0,0.1,0.2,263.657,1.210.367,0.1,0.1,0.3,0,0,18.734,951.656,0,865.003,1.451
527.273,90.909,127.273,109.091,0,36.364,109.091,233.381,523.024,145.455,90.909,145.455,29.388,0,318.851,589.211,0,45.864,6.724
239.583,83.333,72.917,28.125,104.167,625,15.625,310.124,734.829,21.875,104.167,583.333,10.979,79.622,26.695,96.992,0,815.023,34.599
58.824,58.824,58.824,0,0,176.471,647.059,180.588,2.393.886,411.765,176.471,235.294,4.424,276.008,1.248,997.721,0,997.387,23.159
142.857,285.714,142.857,0,0,428.571,0,273.349,1.613.804,0,0,714.286,0,0,1.342,794.631,0,946.948,1.156
142.857,142.857,114.286,0.2,0,285.714,114.286,33.879,466.697,342.857,171.429,514.286,1.805,152.571,53.759,905.908,0,840.546,28.919
15.873,63.492,111.111,396.825,31.746,15.873,222.222,358.808,490.408,126.984,0,15.873,0,0,31.206,867.409,0,885.911,6.232
73.171,2.439,73.171,219.512,0,73.171,536.585,329.605,912.474,2.439,0,219.512,0,0,208,812.227,0,906.846,6.49
4.375,625,40.625,3.125,3.125,0,3.125,379.993,634.529,4.375,3.125,1.875,48.268,0,135.801,857.405,0,53.889,5.426
45.455,272.727,45.455,454.545,0,45.455,136.364,428.325,121.25,954.545,45.455,727.273,0,0,27.596,16.586,0,970.843,1.94
194.805,25.974,64.935,519.481,77.922,25.974,90.909,365.733,678.113,298.701,12.987,233.766,3.334,31.758,5.876,953.861,0,90.963,12.219
7.563,42.017,33.613,462.185,0,2.521,361.345,518.611,597.061,16.807,109.244,445.378,6.412,0,11.439,957.372,48,826.666,23.818
380.952,95.238,238.095,190.476,47.619,47.619,0,413.107,384.395,190.476,47.619,380.952,0,27.624,167,946.038,0,973.257,7.927
257.143,57.143,14.286,314.286,28.571,14.286,314.286,408.354,492.991,428.571,57.143,185.714,2.669,13.399,46.303,865.459,15.635,939.776,10.566
297.872,99.291,85.106,404.255,14.184,14.184,85.106,386.068,430.701,56.738,70.922,170.213,108,72.366,3.066,986.317,0,866.811,36.214
361.765,35.294,23.529,188.235,94.118,11.765,285.294,418.653,733.282,158.824,29.412,485.294,666,29.944,2.757,930.727,755,52.514,61.244
